augment,placement,games_played
Trade Sector,1.0,6
Cursed Crown,1.0,4
Money Money!,1.0,2
Deadeye Crown,1.0,2
Iron Assets,1.0,2
What Doesn't Kill You,1.0,4
Winds of War,1.0,2
Demacia Crest,1.0,2
Early Education,1.0,2
Three's a Crowd,1.0,2
Buried Treasures III,1.0,2
Bastion Crest,1.0,1
The Golden Egg,1.33,6
Rich Get Richer+,1.5,4
Zaun Crest,1.5,4
Bruiser Heart,1.75,8
Freljord Soul,2.0,4
Suppressing Fire,2.0,2
Void Crown,2.0,2
Urf's Grab Bag,2.0,2
Gunner Crest,2.0,2
Targon Heart,2.0,2
Juggernaut Heart,2.0,4
Piltover Soul,2.0,2
Hedge Fund,2.0,2
Spoils of War II,2.0,2
Overwhelming Force,2.0,2
March of Progress,2.25,8
Wellness Trust,2.33,6
Indomitable Will,2.43,14
Multicaster Soul,2.5,24
Strategist Heart,2.56,18
Silver Spoon,2.57,23
Parting Gifts,2.67,6
Library Card,2.67,12
Cybernetic Bulk III,2.67,12
Ionia Crown,2.73,11
Zaun Heart,2.75,8
It Pays to Learn II,2.76,25
Harmacist I,2.78,18
Chemtech Enhancements,2.8,10
Branching Out,2.83,12
Cybernetic Bulk I,2.87,30
Noxus Crown,2.89,18
Scoped Weapons,2.89,9
Challenger Heart,2.91,22
Patient Study,3.0,8
It Pays to Learn III,3.0,8
Jeweled Lotus III,3.0,52
On a Roll,3.0,8
Ionia Crest,3.0,33
Item Grab Bag II,3.0,6
Spoils of War I,3.0,4
Glacial Breeze,3.0,6
All Natural II,3.0,2
Haunted Shell,3.0,4
"One, Two, Five!",3.0,2
One Twos Three,3.0,2
Invoker Crown,3.0,2
Living Forge,3.0,2
Return on Investment,3.04,25
Infusion,3.11,38
Cruel Pact,3.14,21
Healing Orbs II,3.14,42
All That Shimmers,3.17,63
Medium-End Shopping,3.17,12
Endurance Training,3.25,8
Double Trouble III,3.31,32
Masterful Job,3.35,34
Phreaky Friday+,3.37,38
Unified Resistance I,3.38,112
Cybernetic Leech III,3.38,21
Tiniest Titan,3.38,16
Juggernaut Crown,3.4,10
Tactician's Tools,3.43,14
Pandora's Bench,3.46,26
Bruiser Crown,3.5,8
Riftwalk,3.5,16
Blinding Speed,3.5,8
Young and Wild and Free,3.5,12
Gifts From Above,3.5,4
Cutting Corners,3.5,4
Ancient Archives II,3.53,34
Roll The Dice,3.54,26
Harmacist III,3.54,26
Cybernetic Leech II,3.57,51
Red Buff,3.59,29
Risky Moves,3.6,25
Social Distancing I,3.6,55
Slayer Crest,3.6,42
Slayer Heart,3.6,20
Golden Ticket,3.66,82
Missed Connections,3.67,18
Double Trouble II,3.67,24
Two Healthy,3.68,76
Bronze Ticket,3.69,26
You Have My Sword,3.7,40
Think Fast,3.71,56
Frequent Flier,3.73,22
Mana Burn,3.74,106
Metabolic Accelerator,3.75,8
Medium Forge,3.75,174
Social Distancing II,3.76,74
Social Distancing III,3.77,52
Well-Earned Comforts III,3.78,18
Idealism,3.79,63
Tiny Titans,3.8,20
Shurima's Legacy,3.82,34
Challenger Crest,3.83,24
Escort Quest,3.83,12
Petricite Shackles,3.83,12
Stable Evolution,3.85,13
Job Well Done,3.86,154
Cybernetic Bulk II,3.86,28
Noxus Crest,3.88,16
Phreaky Friday,3.88,16
Training Reward,3.9,20
Small Forge,3.91,140
Giant Grab Bag,3.92,26
Harmacist II,3.94,36
Martyr,3.94,36
Cybernetic Leech I,3.96,48
Sorcerer Crown,3.96,23
Know Your Enemy,3.98,129
Challenger Crown,4.0,20
Shadow Isles Crown,4.0,16
High End Sector,4.0,2
Pandora's Items II,4.0,6
Component Buffet,4.0,10
Ravenous Hunter,4.0,22
Dedication,4.0,14
Shadow Isles Heart,4.0,2
Bastion Crown,4.0,4
Unburdened II,4.0,4
Hedge Fund+,4.0,3
All Natural I,4.0,4
Pumping Up III,4.0,2
Money Money Money!,4.0,2
Big Grab Bag,4.05,44
You Have My Bow,4.05,41
Jeweled Lotus I,4.06,64
Tactical Superiority,4.07,30
Tons of Stats!,4.08,97
Army Building,4.08,51
Long Distance Pals II,4.09,266
Healing Orbs I,4.09,53
Portable Forge,4.11,27
Total Domination,4.12,34
Capricious Forge,4.13,30
Large Forge,4.14,74
Pandora's Items,4.15,26
Slayer's Resolve,4.17,12
Tiny Grab Bag,4.2,20
Blood Money,4.2,40
Unified Resistance II,4.23,96
Contagion,4.23,44
Defensive Dash,4.25,16
Latent Forge,4.25,8
Jeweled Lotus II,4.26,70
Silver Ticket,4.27,30
Infernal Contract,4.31,32
Level Up!,4.31,48
Not Today,4.33,30
Gunner Crown,4.33,6
Consistency,4.33,6
Vampiric Blades,4.33,30
Morning Light,4.33,6
Sentinel's Spirit,4.34,29
A Cut Above,4.34,47
Gifts from the Fallen,4.35,108
Combat Caster,4.35,40
Inconsistency,4.36,28
Lategame Specialist,4.36,11
Knowledge Download II,4.4,5
Sorcerer Crest,4.41,34
Training Reward II,4.42,24
Transfusion II,4.43,42
Job's Done,4.47,34
Final Reserves,4.5,4
Pandora's Box,4.5,4
Shurima Crown,4.5,4
AFK,4.5,8
Final Grab Bag II,4.5,8
Sorcerer Heart,4.56,18
Juggernaut Crest,4.6,10
Transfusion III,4.62,16
Last Stand,4.64,11
Multicaster Heart,4.67,12
Void Crest,4.67,6
Freljord Heart,4.71,14
Transfusion I,5.0,9
The Boss,5.0,20
Shimmering Inventors,5.0,2
Slayer Crown,5.0,18
Invoker Heart,5.0,4
Loving Invocation,5.0,2
Piltover Heart,5.0,3
Ancient Archives I,5.0,6
Rogue Crest,5.0,2
Zaun Crown,5.0,6
Salvage Bin+,5.0,6
Binary Airdrop,5.0,2
Recombobulator,5.0,4
Rogue Heart,5.0,2
Shadow Isles Crest,5.0,2
Magic Wand,5.16,45
Radiant Relics,5.17,41
Three's Company,5.33,6
Buried Treasures I,5.33,6
Unleashed Arcana,5.4,10
Perfected Repetition,5.4,10
Gunner Heart,5.5,4
Buried Treasures II,5.5,4
Gargantuan Resolve,5.5,16
Ascension,5.5,4
Hedge Fund++,5.5,8
Strategist Soul,5.5,4
Knowledge Download III,5.5,4
Titanic Strength,5.6,10
Dueling Gunners,5.89,9
Bruiser Crest,6.0,4
Shurima Crest,6.0,6
It Pays To Learn,6.0,2
Overcharged Manafont,6.0,8
Shoplifting,6.0,2
Targon Soul,6.0,2
Sleight of Hand,6.5,4
Rogue Crown,6.5,8
What The Forge,6.5,4
Pumping Up I,6.8,10
Wandering Trainer,7.0,6
Bastion Heart,7.0,4
Starter Kit,7.0,2
Unburdened I,7.0,2
Hustler,7.0,1
Demonflare,8.0,2
Training Reward III,8.0,2
Demacia Crown,8.0,2
